registrar_id,hostname,ip,timestamp
5691,portal.co.mahnomen.mn.us.,136.234.14.61,2016-10-26 14:19:36.276
5691,portal.co.mahnomen.mn.us.,136.234.14.61,2016-10-26 14:26:28.342
5691,portal.co.mahnomen.mn.us.,136.234.14.61,2016-10-26 14:26:29.267
3010,douglas-5520.co.douglas.mn.us.,136.234.64.1,2016-10-26 14:53:53.642
3010,douglas-5520.co.douglas.mn.us.,136.234.64.1,2016-10-26 14:53:54.524
3010,douglas-5520.co.douglas.mn.us.,136.234.64.1,2016-10-26 15:01:52.454
3010,douglas-5520.co.douglas.mn.us.,136.234.64.1,2016-10-26 15:01:53.462
7844,portal.co.pennington.mn.us.,136.234.19.6,2016-10-26 15:10:16.740
7844,portal.co.pennington.mn.us.,136.234.19.6,2016-10-26 15:10:17.515
2444,24-56-144-190-static.midco.net.,24.56.144.190,2016-10-26 16:11:17.397
2444,24-56-144-190-static.midco.net.,24.56.144.190,2016-10-26 18:54:12.170
9986,,136.234.68.55,2016-10-26 16:37:24.966
9986,,136.234.68.55,2016-10-26 16:37:25.724
7245,mail.blueearthcountymn.gov.,136.234.48.139,2016-10-26 19:35:26.586
7245,mail.blueearthcountymn.gov.,136.234.48.139,2016-10-26 19:35:26.733
6212,,136.234.17.61,2016-10-26 19:25:43.680
6212,,136.234.17.61,2016-10-26 19:25:44.104
6212,,136.234.17.61,2016-10-26 19:30:53.990
6212,,136.234.17.61,2016-10-26 20:52:58.063
7877,cpe-67-250-58-157.nyc.res.rr.com.,67.250.58.157,2016-10-27 13:11:23.862
2818,cpe-67-250-58-157.nyc.res.rr.com.,67.250.58.157,2016-10-27 13:11:42.503
8088,cpe-67-250-58-157.nyc.res.rr.com.,67.250.58.157,2016-10-27 13:11:50.737
4982,cpe-67-250-58-157.nyc.res.rr.com.,67.250.58.157,2016-10-27 13:15:18.122
8665,cpe-67-250-58-157.nyc.res.rr.com.,67.250.58.157,2016-10-27 13:29:30.021
2400,cpe-67-250-58-157.nyc.res.rr.com.,67.250.58.157,2016-10-27 13:35:02.198
4815,cpe-67-250-58-157.nyc.res.rr.com.,67.250.58.157,2016-10-27 13:37:08.006
3716,,136.234.49.1,2016-10-27 14:43:15.287
3716,,136.234.49.1,2016-10-27 14:43:15.786
2601,,199.48.38.186,2016-10-28 18:52:57.220
7176,,198.244.16.2,2016-10-28 21:47:17.916
4035,,198.163.255.8,2016-10-28 23:53:55.057
6488,google-proxy-66-102-8-198.google.com.,66.102.8.198,2016-10-30 20:41:15.118
2101,,50.33.240.80,2016-10-31 13:42:27.442
9273,,204.38.89.249,2016-10-31 13:43:06.794
5981,,207.75.40.34,2016-10-31 13:52:39.193
8004,,4.79.123.1,2016-10-31 13:54:49.302
8613,,2600:387:b:5::89,2016-10-31 13:58:44.811
3313,,12.187.125.4,2016-10-31 14:07:00.636
5911,,162.246.195.213,2016-10-31 14:09:55.547
6848,,198.85.228.129,2016-10-31 14:16:56.253
8798,,64.25.198.111,2016-10-31 14:20:49.143
6087,,66.211.156.9,2016-10-31 14:22:14.398
7481,,192.110.200.82,2016-10-31 14:55:08.420
1668,,131.156.90.194,2016-10-31 15:13:52.606
4733,,199.27.156.251,2016-10-31 16:14:04.748
4603,,204.196.103.1,2016-10-31 16:18:49.764
6841,,64.215.212.210,2016-10-31 16:20:21.456
8227,,63.174.136.60,2016-10-31 19:59:01.626
7572,,50.105.77.73,2016-10-31 21:32:00.678
7832,,170.94.106.194,2016-10-31 22:13:11.783
9634,,216.226.180.40,2016-11-01 13:48:30.987
4372,,216.226.180.42,2016-11-01 16:47:49.606
5164,,216.226.180.40,2016-11-01 17:41:02.238
2509,mail14.ess.barracuda.com.,64.235.154.106,2016-10-26 14:14:45.724
6083,mail14.ess.barracuda.com.,64.235.154.141,2016-10-26 14:14:48.634
6083,mail14.ess.barracuda.com.,156.99.196.177,2016-10-27 12:27:21.926
8288,,136.234.80.1,2016-10-26 14:15:44.149
8288,,136.234.80.1,2016-10-26 14:15:45.165
7805,cpe-67-250-58-157.nyc.res.rr.com.,67.250.58.157,2016-10-26 14:17:39.885
5470,,156.99.174.131,2016-10-26 14:17:54.283
5470,,156.99.174.131,2016-10-26 14:17:54.989
5470,,156.99.174.131,2016-10-26 21:16:27.715
5228,,156.98.1.43,2016-10-26 14:23:08.246
5228,,156.98.1.43,2016-10-26 14:23:15.080
5228,,156.98.1.43,2016-10-26 14:23:18.806
5228,,156.98.1.43,2016-10-26 14:23:19.012
2044,fwoutside.co.brown.mn.us.,207.171.92.53,2016-10-26 14:10:48.630
2044,fwoutside.co.brown.mn.us.,207.171.92.53,2016-10-26 14:10:49.436
2044,fwoutside.co.brown.mn.us.,207.171.92.53,2016-10-26 14:29:08.972
2044,fwoutside.co.brown.mn.us.,207.171.92.53,2016-10-26 14:30:24.249
