asgweek_id	week	week1_sent	week2_sent	assignment_identifier	fullpair	admin_unit1	email	num_emails	response	timely_1	timely_2	accuracy	friendly	look_up	link	live_here	reg_here	coded_	first_tt	second_tt	first_name_latino	second_name_latino	first_name	second_name	first_website	second_website	first_subject	second_subject	email_address1	email_address2	from_address_week1	from_address_week2	subject_line_week1	subject_line_week2	strict_enforced	strict_enacted	photo_enforced	photo_enacted	strict_nonphoto	nonphoto	preclear_states	litigation	municipal_only	county_plus	per_black	per_notlat	populationdensitypersqmile	income_est	normal_vote	author_coded	wordcount	gradelevel	totalpopulation	totalpop_latino	elected	southern_state	westcoast_state	mtwest_state	plains_state	midwest_state	midatl_state	ne_state	statereg1	statereg2	idlaw_overall	photolaw	nonphotolaw	noidlaw	idlaw	elected_update	partisan_update	party_update	partydata	code	code.fac	dummy1	dummy2	dummy3	dummy4	dummy5	dummy6	dummy7	dummy8	dummy9	dummy10	dummy11	dummy12	dummy13	dummy14	dummy15	dummy16	dummy17	dummy18	dummy19	dummy20	dummy21	dummy22	dummy23	dummy24	dummy25	dummy26	dummy27	dummy28	dummy29	dummy30	dummy31	dummy32	dummy33	dummy34	dummy35	dummy36	dummy37	dummy38	dummy39	dummy40	dummy41	dummy42	dummy43	dummy44	dummy45	dummy46	dummy47	dummy48
1	1	1	1	10001	1	"REDACTED"	"REDACTED"	1	1	1	1	"Non-informative response"	1	0	0	1	0	0	1	0	1	0	2	3	1	0	1	0	4	1	"rodriguezluis@ajnmail.net"	"gwalsh@fnweb.net"	"Election question"	"Question about voting"	0	0	0	1	0	1	1	0	0	0							110		22915	406	1	1	0	0	0	0	0	0	7	4	1	0	1	0	2	1	1	1	1	25	"25"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	2	1	1	10001	1	"REDACTED"	"REDACTED"	0	0	0	0	""							1	0	1	0	2	3	1	0	1	0	4	1	"rodriguezluis@ajnmail.net"	"gwalsh@fnweb.net"	"Election question"	"Question about voting"	0	0	0	1	0	1	1	0	0	0							110		22915	406	1	1	0	0	0	0	0	0	7	4	1	0	1	0	2	1	1	1	1	25	"25"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	2	1	1	10002	1	"REDACTED"	"REDACTED"	1	1	1	1	"Absolutely accurate"							1	0	0	1	4	2	1	0	1	0	2	1	"muellerj@ajnmail.net"	"lrodriguez@fnweb.net"	"Election question"	"Question about voting"	0	0	0	1	0	1	1	0	0	0							77		41616	1042	1	1	0	0	0	0	0	0	7	4	1	0	1	0	2	1	1	2	1	25	"25"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	1	1	1	10002	1	"REDACTED"	"REDACTED"	0	0	0	0	""							1	0	0	1	4	2	1	0	1	0	2	1	"muellerj@ajnmail.net"	"lrodriguez@fnweb.net"	"Election question"	"Question about voting"	0	0	0	1	0	1	1	0	0	0							77		41616	1042	1	1	0	0	0	0	0	0	7	4	1	0	1	0	2	1	1	2	1	25	"25"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	2	1	1	10003	2	"REDACTED"	"REDACTED"	1	1	1	1	"Absolutely accurate"							1	0	0	1	3	2	1	0	0	1	4	2	"walshgreg@ajnmail.net"	"rodriguezl@fnweb.net"	"Question about voting"	"Election question"	0	0	0	1	0	1	1	0	0	0							77		54571	1310	1	1	0	0	0	0	0	0	7	4	1	0	1	0	2	1	1	1	1	25	"25"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	1	1	1	10003	2	"REDACTED"	"REDACTED"	0	0	0	0	""							1	0	0	1	3	2	1	0	0	1	4	2	"walshgreg@ajnmail.net"	"rodriguezl@fnweb.net"	"Question about voting"	"Election question"	0	0	0	1	0	1	1	0	0	0							77		54571	1310	1	1	0	0	0	0	0	0	7	4	1	0	1	0	2	1	1	1	1	25	"25"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	2	1	1	10004	2	"REDACTED"	"REDACTED"	0	0	0	0	""							1	0	1	0	2	4	1	0	0	1	2	1	"rodriguezl@ajnmail.net"	"jmueller@fnweb.net"	"Question about voting"	"Election question"	0	0	0	1	0	1	1	0	0	0									17302	389	1	1	0	0	0	0	0	0	7	4	1	0	1	0	2	1	1	1	1	25	"25"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	1	1	1	10004	2	"REDACTED"	"REDACTED"	0	0	0	0	""							1	0	1	0	2	4	1	0	0	1	2	1	"rodriguezl@ajnmail.net"	"jmueller@fnweb.net"	"Question about voting"	"Election question"	0	0	0	1	0	1	1	0	0	0									17302	389	1	1	0	0	0	0	0	0	7	4	1	0	1	0	2	1	1	1	1	25	"25"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9	1	1	1	10005	3	"REDACTED"	"REDACTED"	1				""						0	1	0	1	0	1	3	1	0	0	1	2	4	"martinezj@ajnmail.net"	"walshgreg@fnweb.net"	"Question about voting"	"Election question"	0	0	0	1	0	1	1	0	0	0							527		13932	399	1	1	0	0	0	0	0	0	7	4	1	0	1	0	2	1	1	2	1	25	"25"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	2	1	1	10005	3	"REDACTED"	"REDACTED"	1				""							1	0	1	0	1	3	1	0	0	1	2	4	"martinezj@ajnmail.net"	"walshgreg@fnweb.net"	"Question about voting"	"Election question"	0	0	0	1	0	1	1	0	0	0							532		13932	399	1	1	0	0	0	0	0	0	7	4	1	0	1	0	2	1	1	2	1	25	"25"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
